"Timestamp","Server","PR","Build","DockerVersion","KernelVersion","Result","Error"
"2019-05-30 22:02:34","azure-windows-rs1-3","39292","25410","master-dockerproject-2019-04-10",,"FAILURE",
"2019-05-30 22:07:11","azure-windows-rs1-5","39292","25411","master-dockerproject-2019-04-10",,"FAILURE",
"2019-05-30 22:10:22","azure-windows-rs1-3","39292","25412","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-4e524ee9aa\daemon\windowsfilter\e0bbf173000c0cd1d02dcf73d716a53f87f8e7a6536ee754107c66b1640b378b D:\CI\CI-4e524ee9aa\daemon\windowsfilter\e0bbf173000c0cd1d02dcf73d716a53f87f8e7a6536ee754107c66b1640b378b-removing: Access is denied.: failed to remove image sha256:d4f1920695b63a50cfc4f1ae9656da0aa7fcf30e172f2cead536cf818be687d6"
"2019-05-30 23:13:21","azure-windows-rs1-9","39292","25413","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-2d377c6472\daemon\windowsfilter\a75f793857b5cb550ca953e79e54e4563a7d6f2c94e8f71d5425c5c11f43a21e D:\CI\CI-2d377c6472\daemon\windowsfilter\a75f793857b5cb550ca953e79e54e4563a7d6f2c94e8f71d5425c5c11f43a21e-removing: Access is denied.: failed to remove image sha256:3fc473c83a55f49d5dc4780ffcb6e5e82945370a20a49aaa3ee303dc7e20c766"
"2019-05-31 17:23:55","azure-windows-rs1-9","39292","25414","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE",
"2019-05-31 17:51:17","azure-windows-rs1-5","39292","25415","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-497dcff89c\daemon\windowsfilter\56e00179621a26a5a8cb76fc045210365e042504c88bac65a7c6401875d56227 D:\CI\CI-497dcff89c\daemon\windowsfilter\56e00179621a26a5a8cb76fc045210365e042504c88bac65a7c6401875d56227-removing: Access is denied.: failed to remove image sha256:f3d11d9f452ef10469b7e9d1ac6242976361e4f4238625763890f6deaef2d776"
"2019-05-31 18:07:09","azure-windows-rs1-3","39292","25416","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-497dcff89c\daemon\windowsfilter\9292414dfec1961a0c0771e7772e465ca99e62f626ac2ea7be866015b8ced632 D:\CI\CI-497dcff89c\daemon\windowsfilter\9292414dfec1961a0c0771e7772e465ca99e62f626ac2ea7be866015b8ced632-removing: Access is denied.: failed to remove image bldargtestcachehit:latest"
"2019-05-31 19:51:42","azure-windows-rs1-5","39294","25417","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-e7fbe8e457\daemon\windowsfilter\d5a5d4519813b650d41bac1e3bd416f51e0221e28dcd7b72dc3ee5908168e27c D:\CI\CI-e7fbe8e457\daemon\windowsfilter\d5a5d4519813b650d41bac1e3bd416f51e0221e28dcd7b72dc3ee5908168e27c-removing: Access is denied.: failed to remove image sha256:6c36bcd3a04c04ca2706a9e69c83ee1ab08cbdf34679a2450aabd6472a7e2659"
"2019-05-31 20:16:45","azure-windows-rs1-5","39292","25418","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-497dcff89c\daemon\windowsfilter\5fbaae08157534b4e9a8a36fe3f2973dc3cfd1fef7fd34cd510e1cce114ec7ea D:\CI\CI-497dcff89c\daemon\windowsfilter\5fbaae08157534b4e9a8a36fe3f2973dc3cfd1fef7fd34cd510e1cce114ec7ea-removing: Access is denied.: failed to remove image sha256:1310ea470d01910808e79d1d8e61b5d167a469c72f3175a47dae40e0d9e17abe"
"2019-05-31 21:21:25","azure-windows-rs1-4","39295","25420","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE",
